Original,Translate_EN,Translate_IT
"Amor sì vuole, e par-li","Love so decrees, and deems it proper, ","L'amore così decreta, e lo crede giusto,"
Ch’i’ ’n ogni guisa parli,that I should speak in this particular way ,che dovrei parlare in questo modo particolare
E ched i’ faccia un Detto,"and compose a detto,","e comporre un detto,"
Che sia per tutto detto,so that it may be proclaimed everywhere ,perché sia ​​proclamato ovunque
Ch’i’ l’agia ben servito.,how well I served him. ,quanto bene l'ho servito.
"Po’ ch’e’ m’ebe inservito,",Since he took me in his service ,Da quando mi ha preso al suo servizio
"E ch’i’ gli feci homaggio,","and I made my pledge to him, ","e gli ho promesso,"
"I’ l’ò tenuto Ho•Maggio,",I have held him as my lord ,L'ho tenuto come mio signore
E terò giama’ senpre;,and will do so forever. ,e lo farà per sempre.
E questo fin asenpr’è,And this will be a perfect example ,E questo sarà un esempio perfetto
"A ciascun amoroso,","for every lover, ","per ogni amante,"
Sì c’Amor amo-roso,so that Love will not ,in modo che l'amore non lo farà
"No•gli sia nella fine,","be bitter to him in the end,","sii amaro con lui alla fine,"
Anzi ch’e’ metta a fine,but rather that Love will let him have ,ma piuttosto che l'Amore gli darà
"Ciò, ch’e’ disira avere,","the object of his desire, ","l'oggetto del suo desiderio,"
Che val me’ c’altro avere.,which is more valuable than anything else. ,che è più prezioso di qualsiasi altra cosa.
Ed egli è sì cortese,And he is so courteous ,Ed è così cortese
"Che, chi gli sta cortese",that if someone appears before him humbly,che se qualcuno si presenta davanti a lui umilmente
"Od a man giunte avante,","or in a position of supplication,","o in posizione di supplica,"
Esso sì ’l mette avante,he will help that one obtain ,aiuterà quello a ottenere
"Di ciò ched e’ disira,",whatever he desires ,qualunque cosa desideri
E di tutto il dis-ira.,and will take all his displeasure away. ,e toglierà tutto il suo dispiacere.
"Amor non vuol logagio,","Love desires no payment, ","L'amore non desidera alcun pagamento,"
"Ma e’ vuol ben lo gagio,",but he does require this pledge: ,ma richiede questo impegno:
"Ch’è ’l tu’ cuor, si’a lu’ fermo.",that your heart be faithful to him. ,che il tuo cuore gli sia fedele.
Allor dicie: «I’ t’afermo,Then he says: “I grant you ,Poi dice: “Te lo concedo
"Di ciò, che•ttu domandi,",all that you ask ,tutto quello che chiedi
Sanza che•ttu do-mandi».,without your sending any gifts.”,senza che tu invii regali”.
"E’ donati in presente,",And immediately he gives you a gift ,E subito ti fa un regalo
"Sanz’esser in presente,",without there being any gifts ,senza che ci siano doni
Di fino argiento o doro;,"of fine silver and gold, ","d'argento e d'oro fini,"
Perch’i’ a•llui m’adoro,for which reason I worship him ,per cui lo adoro
Come leal Amante.,as a devout lover.,come devoto amante.
"A•llu’ fo graze, amante","To him I give thanks, for I love ","A lui rendo grazie, perché amo"
"Quella, che d’ogne bene",that lady who is so well endowed ,quella signora che è così ben dotata
"È sì guernita bene,",with every good quality ,con ogni buona qualità
Che ’n le’ non truov’uon pare;,that her equal cannot be found; ,che il suo pari non può essere trovato;
"E quand’ella m’apare,","and when she appears before me, ","e quando appare davanti a me,"
Sì grande gioia mi dona,she gives me such great joy ,lei mi dà una gioia così grande
Che lo me’ cor s’adona,that my heart gives itself over ,che il mio cuore si dona
"A le’ senpre servire,","to serving her constantly, ","a servirla costantemente,"
"E di le’ vo serv’ire,",and I want to become her servant ,e voglio diventare il suo servitore
