Original,Translate_EN,Translate_IT_1
"Molti buon’ uomini i’ ò già ’nghannati,","“Many valorous men I once deceived,","Molti uomini valorosi ho ingannato una volta,"
"Quand’i’ gli tenni ne mie’ lacci presi,",when I had them caught in my amorous snares:,quando li ho fatti intrappolare nelle mie insidie amorose:
Ma prima fu’ ’ngannata tanti mesi,but I myself was deceived for many months,ma io stesso sono stato ingannato per molti mesi
Che ’ più de’ mie’ sollazi eran passati.,before most of my pleasure-giving features had faded.,prima che la maggior parte dei miei gioielli fossero svaniti.
Cientomilia cotanti e’ barattati,I would have tricked a hundred thousand men,Avrei ingannato centomila uomini.
"N’avrei, s’i’ a buon’ ora gli avesse tesi:","and more, if I had set my snares in time,","e di più, se avessi messo le mie insidie nel tempo,"
"E conti, e cavalieri, e gran borgesi,",and counts and knights and rich merchants,"e conti, cavalieri e ricchi mercanti"
Ch’e’ molti fiorin d’oro m’avrian dati.,would have given me lots of gold florins.,Mi avrebbe dato un sacco di fiorini d'oro.
"Ma, quand’i’ me n’avidi, egli era tardi,","But when I realized this, it was late,","Ma quando l'ho capito, era tardi."
"Chéd i’ era già fuor di Giovaneza,","for I was already past my youth,","perché avevo già superato la mia giovinezza,"
"Ed eranmi falliti i dolzi isguardi,","and my sweet looks were already gone,","e i miei sguardi dolci erano già spariti,"
Perché ’n sua balia mi tenea Vechieza.,since old age had me in her power.,fin dalla vecchiaia mi aveva in suo potere.
"Or convien, figluola mia, che tu ti guardi,","Now, my daughter, you must take care,","Ora, figlia mia, devi prenderti cura di te."
Che•ttu non ti conduchi a tale streza.,so that you will not come to the same harsh pass.”,in modo che non si arriva allo stesso passo duro.
