Filename,Original,Translate,Translate_GPT_1
fiore_1.csv,Lo Dio d’Amor   con su’ arco mi trasse,Con il suo arco il Dio dell'Amore mi trafisse,Con il suo arco il Divino dell'Amore mi colpì.
fiore_1.csv,"Perch’i’ guardava un Fior,  che m’abellia,","mentre guardavo un fiore che mi piaceva,","mi sono sentito felicementre osservavo una pianta che mi attraeva, ho provato gioia"
fiore_1.csv,Lo quale avea piantato Cortesia,il quale aveva piantato Cortesia,Colui che aveva seminato Cortesia
fiore_1.csv,"Nel Giardin di Piacier, e que’ vi trasse",nel giardino del Piacere.L'amore è venuto," a visitareNel giardino della Delizia, l'affetto è arrivato a far visita."
fiore_1.csv,"Sì tosto, c’a me parve ch’e’ volasse.","così in fretta che mi parve volare,",così rapidamente che mi sembrò volare
fiore_1.csv,E’ disse: «I’ sì ti tengo in mia balia».,"e disse: ""Ti ho in mio potere.""","E dichiarò: ""Ti ho sotto la mia influenza."""
fiore_1.csv,"Allò gli piaque, non per voglia mia,","Poi com'è stato il suo piacere, e nessun mio desiderio,","In seguito, quanta soddisfazione ha provato lei, senza alcun mio bisogno."
fiore_1.csv,Ch’e’ di cinque saette mi piaghasse:,Mi ha ferito con cinque frecce.,Mi ha colpito con cinque dardi.
fiore_1.csv,"La prima à non' Bieltà, per li ochi il core","La prima, chiamata Bellezza, per gli occhi e il cuore","La prima, detta Splendore, per gli occhi e l'animo."
fiore_1.csv,"Mi passò; la seconda Angielicanza,","mi trafisse; la seconda, Angelicanza,"," mi assalìmi penetrò; la seconda, Angelicanza, mi aggredì."
fiore_1.csv,Quella mi mise sopra gran fredore;,Quella mi ha dato un freddo amaro;,Quella mi ha elargito un gelido aspro.
fiore_1.csv,"La terza, Cortesia,    fu san’ dottanza;",La terza senza dubbio è stata Cortesia;,La terza senza alcun dubbio è stata Gentilezza.
fiore_1.csv,"La quarta Compagnia,    che fe’ dolore;","la quarta, Compagnia, ha causato dolore;",La quarta Entità ha provocato sofferenza.
fiore_1.csv,La quinta apella l’uon Buona-Speranza.,la quinta si chiama Buona Speranza.,la quinta si intitola Speranza Positiva.
fiore_2.csv,Sentendomi ismagato malamente,Sentendomi svuotato malamente,Sentendomi esausto miseramente
fiore_2.csv,"Del molto sangue, ch’io avea perduto,",del mio sangue che io avevo perso,della mia vita sanguigna che avevo dissipato
fiore_2.csv,E’ non sapea dove trovar aiuto.,"e non sapevo dove trovare aiuto,",e non sapevo da dove ottenere supporto
fiore_2.csv,Lo Dio d’Amor si venne a me presente,in un lampo c'era il Dio dell'Amore,in un istante apparve il Divino dell'Affetto.
fiore_2.csv,E dissemi: «Tu•ssai veramente,"e disse a me: ""Tu sai veramente"," come fare""e mi disse: ""Tu sai proprio come procedere"""
fiore_2.csv,Che•ttu mi sè intra•lle man caduto,che sei caduto nelle mie mani,che sei capitato nelle mie braccia
fiore_2.csv,"Per le saette, di ch’i’ t’ò feruto,",grazie alle frecce con le quali ti ho ferito;,grazie alle dardi con cui ti ho colpito.
fiore_2.csv,Sì ch’e’ convien che•ttu mi sie ubidente».,E' conveniente che tu sia obbediente,E' salutare che tu sia ubbidiente.
fiore_2.csv,Ed i’ risposi: «I’ sì son tutto presto,"E io ho risposto: ""Io sono pronto","!""Io ho replicato: ""Sono ben preparato!"""
fiore_2.csv,"Di farvi pura e fina fedeltate,","per darti la mia vera e nobile lealta',",per accordarti la mia sincera e nobile fedeltà.
fiore_2.csv,Più ch’assesino a Vellio o a Dio il Presto».,"maggiore dell'assassino al Veglio o del Prete a Dio""",più grande dell'omicida al Vigilio o del Sacerdote a Dio
fiore_2.csv,"E quelli allor mi puose, in veritate,","E quelli, in verità, mi posero"," in una grande difficoltàE quelli, effettivamente, mi collocarono in una situazione complessa."
fiore_2.csv,"La sua bocha ala mia, sanz’altro aresto,","la sua bocca alla mia al mio, senza una pausa",la sua bocca si unì alla mia senza interruzione.
fiore_2.csv,E disse: «Pensa di farmi lealtate».,"e disse: ""Siate fedeli a me.","e disse: ""Siate leali a me."
fiore_3.csv,Del mese di gienaio e non di magio,"Nel mese di gennaio, e non in maggio,"," abbiamo deciso di partireNel mese di gennaio, e non a maggio, abbiamo stabilito di muoverci."
fiore_3.csv,"Fu, quand’i’ presi Amor a signioria,","Lo era, quando ho preso l'amore per essere la mia signora",Era così quando ho preso l'affetto per essere la mia donna.
fiore_3.csv,"E ch’i’ mi misi al tutto in sua ballia,","e mi misi del tutto in balia,",e mi abbandonai completamente alle cure altrui.
fiore_3.csv,"E saramento gli feci, e omaggio,",e serenamente gli feci omaggio.,e pacificamente gli offrii tributo.
fiore_3.csv,E per più sicurtà gli diedi in gaggio,"E come ulteriore garanzia, gli diedi in pegno"," i miei gioielliCome ulteriore assicurazione, gli fornii in ostaggio i miei preziosi."
fiore_3.csv,"Il cor, ch’e’ non avesse gielosia","il cuore, che non fosse geloso","il cuore, che non fosse invidioso"
fiore_3.csv,"Ched i’ fedel e puro i’ no•gli sia,",per non essere fedele a lui,per non mancare alla sua lealtà
fiore_3.csv,E senpre lui tener a Segniò•Maggio.,e lo trattenga sempre come il mio signore e padrone.,e lo conservi sempre come mio signore e sovrano.
fiore_3.csv,"Allor que’ prese il cor e disse: «Amico,","Poi prese il mio cuore e disse: ""Amico,"," non hai più bisogno di me""Poi prese il mio cuore e dichiarò: ""Compagno, non necessiti più del mio sostegno""."
