Original,Translate_IT_1
"A più latinamente vedere la sentenza litterale, alla quale ora s'intende, della prima parte sopra divisa, è da sapere chi e quanti sono costoro che sono chiamati all'audienza mia, e qual è questo terzo cielo lo quale dico loro muovere; e prima dirò del cielo, poi dirò di loro a cu' io parlo.","Una chiara comprensione del significato letterale (che è la nostra attuale preoccupazione), e in particolare del significato letterale della prima parte della divisione di cui sopra, sarà acquisita se si spiega chi sono quegli esseri che sono chiamati ad ascoltarmi, quanti di loro ci sono, e che è il terzo cielo, che io dico si muovono; parlerò prima del cielo, poi di quelli che mi rivolgo."
"E avegna che quelle cose, per rispetto della veritade, assai poco sapere si possano, quel cotanto che l'umana ragione ne vede ha più [di] dilettazione che 'l molto e 'l certo delle cose delle quali si giudica secondo [lo senso, secondo] la sentenza del Filosofo in quello delli Animali.","Anche se possiamo sapere molto poco di queste cose rispetto a ciò che c'è da sapere, ciò che la mente umana riesce a percepire su di loro porta più piacere di quanto non faccia la vasta e certa conoscenza che possediamo su cose che incidono sui sensi, come il filosofo indica nel suo lavoro sugli animali."
"Dico adunque che del numero delli cieli e del sito diversamente è sentito da molti, avegna che la veritade all'ultimo sia trovata. Aristotile credette, seguitando solamente l'antica grossezza delli astrologi, che fossero pur otto cieli, delli quali lo estremo, e che contenesse tutto, fosse quello dove le stelle fisse sono, cioè la spera ottava; e che di fuori da esso non fosse altro alcuno.","Dichiaro, quindi, che molte opinioni diverse sono state prese per quanto riguarda il numero e la posizione dei vari cieli, anche se alla fine la verità è stata scoperta. Quando egli si basava solo su una vecchia mistificazione degli astronomi, Aristotele credeva che ci fossero solo otto cieli, di cui il più esterno, che comprende il tutto, era il cielo delle stelle fisse, cioè l'ottava sfera; al di là di questo nessun altro cielo esisteva."
"Ancora credette che lo cielo del Sole fosse immediato con quello della Luna, cioè secondo a noi. E questa sua sentenza così erronea può vedere chi vuole nel secondo Di Cielo e Mondo, ch'è nel secondo de' libri naturali. Veramente elli di ciò si scusa nel duodecimo della Metafisica, dove mostra bene sé avere seguito pur l'altrui sentenza là dove d'astrologia li convenne parlare.","Egli credeva anche che il cielo del sole confinasse con quello della luna, ed era, quindi, il cielo secondo da noi. Questa sua opinione del tutto erronea è lì per chiunque di vedere nel secondo libro dei cieli e della terra, cioè, del secondo delle opere sulla fisica. Tuttavia, nel dodicesimo libro della Metafisica si scusa per aver avanzato questa opinione, dove fa chiaro che aveva semplicemente seguito le opinioni degli altri quando era richiesto di trattare di astronomia."
"Tolomeo poi, acorgendosi che l'ottava spera si movea per più movimenti, veggendo lo cerchio suo partire dallo diritto cerchio, che volge tutto da oriente in occidente, constretto dalli principii di filosofia, che di necessitade vuole uno primo mobile semplicissimo, puose un altro cielo essere fuori dello Stellato, lo quale facesse questa revoluzione da oriente in occidente: la quale dico che si compie quasi in ventiquattro ore, [cioè in ventitré ore] e quattordici parti delle quindici d'un'altra, grossamente asegnando.","Tolomeo riconobbe in seguito che l'ottavo cielo era soggetto a più di un movimento, perché notava che il cerchio tracciato deviava dal cerchio perfetto che trasformava il tutto da est a ovest. E, riconoscendo la forza dei principi filosofici, che esigevano rigorosamente che ci fosse un primo corpo in movimento che fosse del tutto libero dalla molteplicità, pose l'esistenza di un altro cielo al di là del Cielo delle Stelle, che avrebbe fatto questa rivoluzione da est a ovest."
"Sì che secondo lui, secondo quello che si tiene in astrologia ed in filosofia poi che quelli movimenti furono veduti, sono nove li cieli mobili; lo sito delli quali è manifesto e diterminato, secondo che per un'arte che si chiama perspettiva, e [per] arismetrica e geometria sensibilemente e ragionevolemente è veduto, e per altre esperienze sensibili: sì come nello eclipsi del sole appare sensibilemente la luna essere sotto lo sole, e sì come per testimonianza d'Aristotile [sapemo], che vide colli occhi (secondo che dice nel secondo Di Cielo e Mondo) la luna, essendo nuova, entrare sotto a Marte dalla parte non lucente, e Marte stare celato tanto che raparve dall'altra parte lucente della luna, ch'era verso occidente.","Quindi, secondo il suo punto di vista, in conformità con ciò che è tenuto nell'astronomia e nella filosofia dopo che questi movimenti erano stati percepiti, ci sono nove cieli in movimento. La posizione di questi è chiara ed esattamente conosciuta, sulla base di ciò che è percepito dai sensi e dalla ragione in una disciplina chiamata prospettiva e in Aritmetica e Geometria, e di ciò che è percepito in altro senso esperienze, come il seguente: è evidente ai sensi in un'eclissi del Sole che la Luna giace sotto il Sole; o ancora abbiamo la testimonianza oculare di Aristotele che la nuova Luna sul suo lato oscuro passato di fronte a Marte che è rimasto nascosto fino a quando non è riapparso dall'altro lato della Luna, il suo lato luminoso, che era rivolto verso ovest."
"Ed è l'ordine del sito questo: che lo primo che numerano è quello dove è la Luna; lo secondo è quello dove è Mercurio; lo terzo è quello dove è Venere; lo quarto è quello dove è lo Sole; lo quinto è quello di Marte; lo sesto è quello di Giove; lo settimo è quello di Saturno; l'ottavo è quello delle Stelle; lo nono è quello che non è sensibile se non per questo movimento che è detto di sopra, lo quale chiamano molti Cristallino, cioè diafano o vero tutto trasparente.","I cieli vengono nell'ordine seguente. Il primo nella sequenza è il Cielo della Luna; il secondo, Mercurio; il terzo, Venere; il quarto, il Sole; il quinto, Marte; il sesto, Giove; il settimo, Saturno; e l'ottavo è il Cielo delle Stelle. Il nono non è percettibile per i sensi, tranne nel movimento parlato di sopra; molti chiamano questo il Cielo Cristallino, cioè il Cielo che è diafano o completamente trasparente."
"Veramente, fuori di tutti questi, li catolici pongono lo cielo Empireo, che è a dire cielo di fiamma o vero luminoso; e pongono esso essere immobile per avere in sé, secondo ciascuna [sua] parte, ciò che la sua materia vuole.","Tuttavia, i cattolici ritengono che al di là di tutti questi vi è il Cielo Empireo, che significa il cielo della fiamma o della luce. Essi ritengono che questo è immobile perché possiede in ogni sua parte la perfezione richiesta dalla sua materia."
"E questo è cagione al Primo Mobile per avere velocissimo movimento; ché per lo ferventissimo appetito ch'è ['n] ciascuna parte di quello nono cielo, che è [im]mediato a quello, d'essere congiunta con ciascuna parte di quello divinissimo ciel quieto, in quello si rivolve con tanto desiderio, che la sua velocitade è quasi incomprensibile.","È questa qualità che fa sì che il primo cielo in movimento si muova con la massima velocità, poiché in ogni parte di quel nono cielo che confina con l'Empireo brucia un ardente desiderio di essere unito ad ogni parte di quel cielo più divino che è a riposo, esso ruota dentro quel cielo con un desiderio così intenso che la sua velocità è quasi oltre la comprensione."
"E quieto e pacifico è lo luogo di quella somma Deitate che sola [sé] compiutamente vede. Questo loco è di spiriti beati, secondo che la Santa Chiesa vuole, che non può dire menzogna; e Aristotile pare ciò sentire, a chi bene lo 'ntende, nel primo Di Cielo e Mondo.","Riposo e pace sono i segni di questa dimora-luogo di quella altissima divinità che solo si vede pienamente. Secondo l'insegnamento della Santa Chiesa, che non può mentire, questa è la dimora-luogo di spiriti benedetti; e sarà chiaro a chiunque afferra correttamente il suo significato che Aristotele implica la stessa visione nella prima parte di On the Heavens e la Terra."
