Original,Translate_IT
“Vexilla regis prodeunt inferni,« Vexilla governati prodeunt inferni
"verso di noi; però dinanzi mira”,","Guarda, guarda, poi dice il mio padrone,"
"disse 'l maestro mio, “se tu 'l discerni”.",per vedere se li puoi distinguere davanti a te”.
"Come quando una grossa nebbia spira,","Come quando il vento provoca una grande nebbia,"
"o quando l'emisperio nostro annotta,","o come si vede da lontano, quando sul nostro emisfero"
"par di lungi un molin che 'l vento gira,","la notte cade, un mulino che il vento fa girare,"
veder mi parve un tal dificio allotta;,così credetti di intravedere da lontano un edificio;
poi per lo vento mi ristrinsi retro,e il vento mi costringeva a cercare un rifugio
"al duca mio, ché non lì era altra grotta.","dietro il mio signore, senza un altro rifugio."
"Già era, e con paura il metto in metro,",Io ero (e lo metto nei miei versi tremando)
"là dove l'ombre tutte eran coperte,",al punto in cui gli spiriti incastonati nel ghiaccio
e trasparien come festuca in vetro.,Traspaiono come un fettuccio nel bicchiere.
"Altre sono a giacere; altre stanno erte,",Gli uni restano in piedi e gli altri sdraiati;
quella col capo e quella con le piante;,"Uno sta sulla testa, l’altro sui due piedi."
"altra, com'arco, il volto a' piè rinverte.","o piegato come un arco, toccando la fronte dei piedi."
"Quando noi fummo fatti tanto avante,",Quando finalmente siamo arrivati abbastanza vicini
ch'al mio maestro piacque di mostrarmi,dal luogo da cui il mio signore credette bene di mostrarmi
"la creatura ch'ebbe il bel sembiante,","l'essere il cui sguardo fu un tempo radioso,"
"d'innanzi mi si tolse e fé restarmi,","di fronte a me, che mi era stato fermato,"
"“Ecco Dite”, dicendo, “ed ecco il loco","Egli mi disse: «Ecco, dice; ed ecco il momento"
ove convien che di fortezza t'armi”.,dove dovrai armarti del tuo più grande coraggio”.
"Com'io divenni allor gelato e fioco,","Se poi perdessi il respiro e il colore,"
"nol dimandar, lettor, ch'i' non lo scrivo,","non chiederlo, lettore; non saprei"
però ch'ogne parlar sarebbe poco.,"Dirlo, perché le parole non possono bastare."
Io non mori' e non rimasi vivo;,"Se non morissi, sarei rimasto senza vita;"
"pensa oggimai per te, s'hai fior d'ingegno,","con un po' di spirito, considera te stesso"
"qual io divenni, d'uno e d'altro privo.","come ero allora, senza vivere e senza morire."
