Original,Translate_IT
“Poscia che Costantin l'aquila volse,"Una volta che Constantine ha invertito il volo dell'aquila,"
"contr'al corso del ciel, ch'ella seguio",contro il corso del cielo che aveva seguito
"dietro a l'antico che Lavina tolse,","dietro quell'antico che portò Lavinia in moglie,"
cento e cent'anni e più l'uccel di Dio,'per duecento anni e più l'uccello di Dio
"ne lo stremo d'Europa si ritenne,","rimaneva ai confini dell'Europa,"
vicino a' monti de' quai prima uscìo;,vicino ai monti da cui uscì per la prima volta.
e sotto l'ombra de le sacre penne,Lì governava il mondo sotto l'ombra
"governò 'l mondo lì di mano in mano,","delle sue ali sacre, passando di mano in mano"
"e, sì cangiando, in su la mia pervenne.","e, cambiando in questo modo, finalmente è entrato nel mio."
"Cesare fui e son Iustinïano,","'Caesar ero e sono Justinian,"
"che, per voler del primo amor ch'i' sento,","che, per volontà dell'Amore Primale provo,"
d'entro le leggi trassi il troppo e 'l vano.,potato dalle leggi ciò che era superfluo e vano.
"E prima ch'io a l'ovra fossi attento,","""Prima di pensare a quel difficile compito,"
"una natura in Cristo esser, non piùe,","Credevo che Cristo avesse una sola natura,"
"credea, e di tal fede era contento;","e non un secondo, ed era contento in quella credenza."
"ma 'l benedetto Agapito, che fue","Ma il benedetto Agapeto,"
"sommo pastore, a la fede sincera","il più esaltato dei nostri pastori,"
mi dirizzò con le parole sue.,mi ha portato alla vera fede con le sue parole.
"Io li credetti; e ciò che 'n sua fede era,",Gli ho creduto... quello che teneva per fede...
"vegg'io or chiaro sì, come tu vedi",Ora vedo chiaramente quanto lei capisce.
ogne contradizione e falsa e vera.,che ogni contraddizione è falsa e vera.
"Tosto che con la Chiesa mossi i piedi,","""Non appena le mie orme si muoverono dalla parte della Chiesa,"
a Dio per grazia piacque di spirarmi,"ha gradito Dio, nella Sua grazia, per darmi ispirazione"
"l'alto lavoro, e tutto 'n lui mi diedi;","nel nobile compito a cui mi sono interamente affidato,"
"e al mio Belisar commendai l'armi,","Affidando le mie armi a Belisarius,"
"cui la destra del ciel fu sì congiunta,",con il quale la destra del Cielo era così unita
che segno fu ch'i' dovessi posarmi.,Era un segno per me consegnarli.
Or qui a la question prima s'appunta,"'Qui, allora, termina la mia risposta alla tua prima domanda,"
la mia risposta; ma sua condizione,ma la sua natura ancora mi costringe
"mi stringe a seguitare alcuna giunta,",per dare un seguito a qualcosa di più
perché tu veggi con quanta ragione,'così che si può considerare se con ragione qualche ribelle
si move contr'al sacrosanto segno,"contro quel sacro standard, entrambi contrari"
e chi 'l s'appropria e chi a lui s'oppone.,e quelli che la prendono come loro.
Vedi quanta virtù l'ha fatto degno,'Considerate quanto valore l'ha reso degno
di reverenza; e cominciò da l'ora,"di riverenza, a partire dall'ora"
che Pallante morì per darli regno.,quando Pallade diede la sua vita per darla.
Tu sai ch'el fece in Alba sua dimora,'Sai che ha fatto la sua casa ad Alba
"per trecento anni e oltre, infino al fine","per trecento anni e più finché, finalmente,"
che i tre a' tre pugnar per lui ancora.,"Di nuovo per il suo bene, tre fecero la guerra al tre."
E sai ch'el fé dal mal de le Sabine,"E tu sai cosa ha fatto sotto sette re,"
"al dolor di Lucrezia in sette regi,","dalle colpe fatte alle donne Sabine ai dolori di Lucrezia,"
vincendo intorno le genti vicine.,conquistare la gente vicina tutto intorno.
Sai quel ch'el fé portato da li egregi,Sai cosa ha fatto quando e' stato tenuto in alto.
"Romani incontro a Brenno, incontro a Pirro,","dai nobili Romani contro il Brennus, contro il Pirro,"
incontro a li altri principi e collegi;,"contro gli altri regni e repubbliche,"
"onde Torquato e Quinzio, che dal cirro","Cosi' che Torquato, Quinzio..."
"negletto fu nomato, i Deci e ' Fabi","per le sue serrature insensate -- i Decii, i Fabii:"
ebber la fama che volontier mirro.,tutti hanno raggiunto la fama che sono felice di mantenere.
Esso atterrò l'orgoglio de li Aràbi,'Ha portato l'orgoglio degli arabi in basso
che di retro ad Anibale passaro,quando seguirono Annibale lungo le falesie alpine
"l'alpestre rocce, Po, di che tu labi.","Da cui, o fiume Po, cadi."
Sott'esso giovanetti trïunfaro,"Sotto di essa trionfò la giovane Scipione e Pompeo,"
Scipïone e Pompeo; e a quel colle,e a quella collina sotto la quale sei nato
sotto 'l qual tu nascesti parve amaro.,Sembrava davvero una vista amara.
"Poi, presso al tempo che tutto 'l ciel volle","'Allora, come il tempo si avvicinò quando il Cielo volle"
"redur lo mondo a suo modo sereno,","per portare il mondo al suo stesso stato di pace,"
Cesare per voler di Roma il tolle.,"Cesare, per volontà di Roma, lo prese in mano."
"E quel che fé da Varo infino a Reno,","E quello che ha fatto, dal Var al Reno,"
Isara vide ed Era e vide Senna,"l'Isère, la Loira e la Senna,"
e ogne valle onde Rodano è pieno.,come tutte le valli che rifornivano il Rodano.
Quel che fé poi ch'elli uscì di Ravenna,"""Ciò che ha fatto quando è uscito da Ravenna"
"e saltò Rubicon, fu di tal volo,",e saltato il Rubicone era un tale volo
che nol seguiteria lingua né penna.,che né la lingua né la penna potevano seguirla.
"Inver' la Spagna rivolse lo stuolo,","""Verso la Spagna, essa si è rimbalzata tra le braccia,"
"poi ver' Durazzo, e Farsalia percosse","poi verso Durazzo e colpì Farsalia,"
sì ch'al Nil caldo si sentì del duolo.,portando così il dolore alle acque tiepide del Nilo.
"Antandro e Simeonta, onde si mosse,","""Antandro e il Simois, dove si trovava,"
rivide e là dov'Ettore si cuba;,e il luogo dove si trova Hector.
e mal per Tolomeo poscia si scosse.,Poi si è risvegliato -- a spese di Tolomeo.
Da indi scese folgorando a Iuba;,"Da lì, come un fulmine, cadde su Juba,"
"onde si volse nel vostro occidente,","poi si voltò verso la regione verso il tuo occidente,"
ove sentia la pompeana tuba.,dove udiva il suono della tromba di Pompeo.
"Di quel che fé col baiulo seguente,",Per quello che ha fatto con colui che l'ha portato
"Bruto con Cassio ne l'inferno latra,","Bruto e Cassio abbaiano all'inferno,"
e Modena e Perugia fu dolente.,e sia Modena che Perugia erano arrabbiati.
"Piangene ancor la trista Cleopatra,",La disgraziata Cleopatra piange ancora per questo.
"che, fuggendoli innanzi, dal colubro","Lei, fuggendo davanti al suo fronte in avanti,"
la morte prese subitana e atra.,ha preso dall'aspide la sua morte veloce e baleful.
Con costui corse infino al lito rubro;,Con lui corse fino alla riva del Mar Rosso.
"con costui puose il mondo in tanta pace,",Con lui ha portato il mondo tale pace
che fu serrato a Giano il suo delubro.,che le porte del santuario di Janus erano chiuse.
Ma ciò che 'l segno che parlar mi face,Ma quale è lo standard che promuove il mio discorso?
fatto avea prima e poi era fatturo,aveva fatto prima e doveva ancora fare
"per lo regno mortal ch'a lui soggiace,",nel regno mortale dove tiene ondeggiante
"diventa in apparenza poco e scuro,",'sembra sia piccolo che fioco
se in mano al terzo Cesare si mira,"se lo osserviamo, con occhi chiari e puro affetto,"
con occhio chiaro e con affetto puro;,quando è stato tenuto nella mano del terzo Cesare.
"ché la viva giustizia che mi spira,",'Per la giustizia vivente che mi ispira
"li concedette, in mano a quel ch'i' dico,","permesso, nelle mani di colui di cui parlo,"
gloria di far vendetta a la sua ira.,la gloria della vendetta per la Sua ira.
Or qui t'ammira in ciò ch'io ti replìco:,Ora dovete meravigliarvi di quello che dispiegavo:
poscia con Tito a far vendetta corse,"In seguito corse con Titus, facendo vendetta"
de la vendetta del peccato antico.,sulla vendetta per l'antico peccato.
E quando il dente longobardo morse,"'Allora, sotto le sue ali,"
"la Santa Chiesa, sotto le sue ali","quando il dente lombardo morse Santa Chiesa,"
"Carlo Magno, vincendo, la soccorse.","Carlo Magno, nella vittoria, le diede conforto."
Omai puoi giudicar di quei cotali,Ora puoi giudicare gli uomini che ho accusato prima.
"ch'io accusai di sopra e di lor falli,","e considerare le loro offese,"
che son cagion di tutti vostri mali.,la causa stessa di tutti i tuoi mali.
L'uno al pubblico segno i gigli gialli,'Uno si mette contro lo standard universale
"oppone, e l'altro appropria quello a parte,","gigli gialli, mentre l'altro lo rivendica per una festa,"
sì ch'è forte a veder chi più si falli.,in modo che sia difficile vedere quale offende di più.
"Faccian li Ghibellin, faccian lor arte","'Che i ghibellini li paghino, paghino i loro trucchi"
"sott'altro segno, ché mal segue quello","sotto un altro standard, perché segue"
sempre chi la giustizia e lui diparte;,"Questo qui, che non riesce a strapparlo alla giustizia."
e non l'abbatta esto Carlo novello,E che questo nuovo Charles non si sforzi di cadere
"coi Guelfi suoi, ma tema de li artigli","con i suoi Guelfi, ma temi i suoi artigli,"
ch'a più alto leon trasser lo vello.,che hanno strappato le pelli dai leoni più grandi.
Molte fïate già pianser li figli,'Molte volte i bambini piangono
"per la colpa del padre, e non si creda","per il peccato del padre, e non pensi"
che Dio trasmuti l'armi per suoi gigli!,che Dio cambierà il Suo vessillo per quei gigli.
Questa picciola stella si correda,'Questa stellina è ornata
d'i buoni spirti che son stati attivi,"con gli spiriti giusti,"
perché onore e fama li succeda:,per l'onore e la gloria che seguirebbe.
"e quando li disiri poggian quivi,","""Quando sorgeranno questi desideri erranti,"
"sì disvïando, pur convien che i raggi",allora i raggi dell'unico vero amore
del vero amore in sù poggin men vivi.,deve salire con minore intensità.
Ma nel commensurar d'i nostri gaggi,'Ma notare come il nostro merito equivale alla nostra ricompensa
"col merto è parte di nostra letizia,","fa parte della nostra felicità,"
perché non li vedem minor né maggi.,perché vediamo che non sono né meno né più.
Quindi addolcisce la viva giustizia,'Così tanto la giustizia vivente addolcisce il nostro affetto
"in noi l'affetto sì, che non si puote",non potremo mai affrontare
torcer già mai ad alcuna nequizia.,l'ordito della malvagità.
Diverse voci fanno dolci note;,Le voci diverse fanno musica dolce.
così diversi scanni in nostra vita,Solo perche' i nostri diversi ranghi in questa nostra vita...
rendon dolce armonia tra queste rote.,creare dolce armonia tra queste ruote.
E dentro a la presente margarita,'In questa perla splende
"luce la luce di Romeo, di cui","la luce splendente di Romeo,"
fu l'ovra grande e bella mal gradita.,la cui grande e nobile opera è stata mal pagata.
Ma i Provenzai che fecer contra lui,"""Ma quelli della Provenza che hanno inscenato contro di lui"
non hanno riso; e però mal cammina,non hanno avuto l'ultima risata - prende una strada malvagia
qual si fa danno del ben fare altrui.,a cui la buona azione di un altro sembra sbagliata.
"Quattro figlie ebbe, e ciascuna reina,",Raymond Berenger aveva quattro figlie.
"Ramondo Beringhiere, e ciò li fece","ciascuno di loro una regina, e Romeo, un uomo"
"Romeo, persona umìle e peregrina.","di poco in piedi e un estraneo, ha fatto che accadesse."
E poi il mosser le parole biece,E quando le lingue malvagie muovevano Raymond
"a dimandar ragione a questo giusto,","per esaminare i conti con quest'uomo giusto,"
"che li assegnò sette e cinque per diece,","che lo aveva reso sette più cinque per dieci,"
indi partissi povero e vetusto;,"'Romeo se n'è andato, povero nella sua vecchiaia."
e se 'l mondo sapesse il cor ch'elli ebbe,"E, se il mondo conoscesse il cuore che ha dentro"
"mendicando sua vita a frusto a frusto,","quando, crosta per crosta, implorò il suo pane,"
"assai lo loda, e più lo loderebbe”.","quanto loda lui, lo loderebbe di più."""
