Original,Translate_IT
"Ricorditi, lettor, se mai ne l'alpe",Per fare il suo corso attraverso l'acqua più liscia
ti colse nebbia per la qual vedessi,"la piccola corteccia del mio spirito ora arrampica la sua vela,"
"non altrimenti che per pelle talpe,",lasciando alle spalle quel mare crudele.
"come, quando i vapori umidi e spessi","Ora canterò il secondo regno,"
"a diradar cominciansi, la spera","là dove l'anima dell'uomo è purificata,"
del sol debilemente entra per essi;,resa degna di ascendere al Cielo.
e fia la tua imagine leggera,"Qui dai morti la poesia si alzi,"
in giugnere a veder com'io rividi,"O Muse sacre, da quando sono vostra."
"lo sole in pria, che già nel corcar era.",Lasciate che Calliope si alzi.
"Sì, pareggiando i miei co' passi fidi",per accompagnare la mia canzone con quegli stessi accordi
"del mio maestro, usci' fuor di tal nube",la cui forza colpì così le miserabili magpie
ai raggi morti già ne' bassi lidi.,"che, ascoltando, hanno perso ogni speranza di perdono."
O imaginativa che ne rube,"Colore dolce dello zaffiro orientale,"
"talvolta sì di fuor, ch'om non s'accorge",aleggiando nell'aspetto calmo e tranquillo
"perché dintorno suonin mille tube,","d'aria intervenente, pura all'orizzonte,"
"chi move te, se 'l senso non ti porge?",mi sono compiaciuto ancora una volta dei miei occhi
"Moveti lume che nel ciel s'informa,",non appena ho lasciato l'aria morbosa
per sé o per voler che giù lo scorge.,che aveva afflitto sia il mio petto che gli occhi.
De l'empiezza di lei che mutò forma,"Il pianeta giusto che incoraggia l'amore,"
"ne l'uccel ch'a cantar più si diletta,","sorridente, illuminato a est,"
ne l'imagine mia apparve l'orma;,velando i pesci nel suo treno.
e qui fu la mia mente sì ristretta,"Mi voltai a destra e, fissando la mia attenzione"
"dentro da sé, che di fuor non venìa","sull'altro polo, ho visto quattro stelle"
cosa che fosse allor da lei ricetta.,"non visti, ma dai primi sulla terra."
Poi piovve dentro a l'alta fantasia,Il cielo stesso sembrava gioire
"un crucifisso, dispettoso e fero",nel loro splendente luccichio. O vedova
"ne la sua vista, e cotal si moria;","regione del nord, negata quella vista!"
"intorno ad esso era il grande Assüero,","Una volta che ho attirato il mio sguardo da loro,"
"Estèr sua sposa e 'l giusto Mardoceo,",girare a malapena verso l'altro polo
che fu al dire e al far così intero.,"dove era posta la costellazione del fiume,"
E come questa imagine rompeo,"Ho visto accanto a me un vecchio, da solo,"
"sé per sé stessa, a guisa d'una bulla",che dal suo aspetto era così meritevole di rispetto
"cui manca l'acqua sotto qual si feo,",che nessun figlio deve di più a suo padre.
surse in mia visïone una fanciulla,"La sua barba era lunga e striata di bianco,"
"piangendo forte, e dicea: “O regina,","come i suoi capelli, che cadde"
perché per ira hai voluto esser nulla?,in doppi fili fino al petto.
Ancisa t'hai per non perder Lavina;,I raggi di quelle quattro stelle sante
"or m'hai perduta! Io son essa che lutto,",adornava il suo viso con tanta luce
"madre, a la tua pria ch'a l'altrui ruina”.",Sembrava splendere con la luminosità del sole.
Come si frange il sonno ove di butto,"Quali anime sei tu per essere fuggito dall'eterna prigione,"
"nova luce percuote il viso chiuso,",arrampicarsi contro il ruscello oscuro e nascosto?
che fratto guizza pria che muoia tutto;,"chiese, scuotendo quelle venerate serrature."
così l'imaginar mio cadde giuso,'Chi era la tua guida o chi la tua lanterna
"tosto che lume il volto mi percosse,",per condurvi fuori da quella notte profonda
maggior assai che quel ch'è in nostro uso.,quale ripida la valle dell'Inferno nelle tenebre?
"I' mi volgea per veder ov'io fosse,","Le leggi dell'abisso sono così infrante,"
"quando una voce disse “Qui si monta”,","o è stato fatto un nuovo decreto in cielo,"
che da ogne altro intento mi rimosse;,"che, dannazione, stai davanti alle mie scogliere?"""
e fece la mia voglia tanto pronta,Il mio capo mi ha poi contattato.
"di riguardar chi era che parlava,",e con le sue parole e segni e con le sue mani
"che mai non posa, se non si raffronta.","mi ha fatto mostrare riverenza con il ginocchio e la fronte,"
Ma come al sol che nostra vista grava,"Allora gli rispose: ""Non sono venuto da solo."
"e per soverchio sua figura vela,",Una donna discesa dal Cielo e su sua richiesta
così la mia virtù quivi mancava.,Ho prestato a quest'uomo compagnia e aiuto.
