Filename,Original,Translate
trad_divina_commedia_paradiso_5_1.csv,La gloria di colui che tutto move,"La gloria di colui che muove il tutto grande,"
trad_divina_commedia_paradiso_5_1.csv,"per l universo penetra, e risplende",Pervadere lo spazio e concedere a questa parte
trad_divina_commedia_paradiso_5_1.csv,in una parte pi  e meno altrove.,"Lui meno, quello pi  del suo splendore."
trad_divina_commedia_paradiso_5_1.csv,Nel ciel che pi  de la sua luce prende,"Nel cielo, che trasfigura la sua luce pi  luminosa,"
trad_divina_commedia_paradiso_5_1.csv,"fu  io, e vidi cose che ridire",Ero e ho visto cosa raccontare di nuovo
trad_divina_commedia_paradiso_5_1.csv,n  sa n  pu  chi di l  s  discende ,Colui che non puo  tornare da lassu .
trad_divina_commedia_paradiso_5_1.csv,"perch  appressando s  al suo disire,","perch , avvicinati alla meta del desiderio delle nostre anime,"
trad_divina_commedia_paradiso_5_1.csv,"nostro intelletto si profonda tanto,","Che attira il nostro spirito alla profondit ,"
trad_divina_commedia_paradiso_5_1.csv,che dietro la memoria non pu  ire.,Allora la via del ritorno non deve essere ricordata.
trad_divina_commedia_paradiso_5_1.csv,Veramente quant io del regno santo,Ma tutto quello che c   nel territorio santo
trad_divina_commedia_paradiso_5_1.csv,"ne la mia mente potei far tesoro,","Solo raccogliere era di quella bellezza,"
trad_divina_commedia_paradiso_5_1.csv,sar  ora materia del mio canto.,Il nobile tesoro... sii la mia canzone.
trad_divina_commedia_paradiso_5_1.csv,"O buono Appollo, a l ultimo lavoro","Apollo, Gutger, prestami i tuoi suoni"
trad_divina_commedia_paradiso_5_1.csv,"fammi del tuo valor s  fatto vaso,","Per l ultima opera, fa  di me un vaso,"
trad_divina_commedia_paradiso_5_1.csv,come dimandi a dar l amato alloro.,Vale la pena di incoronare il tuo amato alloro.
trad_divina_commedia_paradiso_5_1.csv,Infino a qui l un giogo di Parnaso,"Mi piace una cima del Parnass fino a qui,"
trad_divina_commedia_paradiso_5_1.csv,assai mi fu  ma or con amendue,"Invece, l ippodromo mira dei vincitori saluti,"
trad_divina_commedia_paradiso_5_1.csv,m   uopo intrar ne l aringo rimaso.,E  cosi  che ti imploro di salire entrambi.
trad_divina_commedia_paradiso_5_1.csv,"Entra nel petto mio, e spira tue","L alito in me, il puro, dolce,"
trad_divina_commedia_paradiso_5_1.csv,s  come quando Mars a traesti,"Che tu sia forte qui, come nella gara..."
trad_divina_commedia_paradiso_5_1.csv,de la vagina de le membra sue.,I Marsya lottano per meritare l orgoglio.
trad_divina_commedia_paradiso_5_1.csv,"O divina virt , se mi ti presti","O forza degli dei, se ora mi presti,"
trad_divina_commedia_paradiso_5_1.csv,tanto che l ombra del beato regno,La lucentezza di questo impero splendore
trad_divina_commedia_paradiso_5_1.csv,"segnata nel mio capo io manifesti,","Per dipingere dall immagine nella mia mente,"
trad_divina_commedia_paradiso_5_1.csv,vedra mi al pi  del tuo diletto legno,Poi mi vedi vicino alla pianta costosa
trad_divina_commedia_paradiso_5_1.csv,"venire, e coronarmi de le foglie","E, con il tessuto e il tuo valore, adorna"
trad_divina_commedia_paradiso_5_1.csv,che la materia e tu mi farai degno.,E arricchisce la mia testa con la sua corona.
trad_divina_commedia_paradiso_5_1.csv,"S  rade volte, padre, se ne coglie","Quando si raccoglie raramente il loro fogliame, o padre,"
trad_divina_commedia_paradiso_5_1.csv,"per tr unfare o cesare o poeta,","Per onorare Cesare e il poeta Vittoria,"
trad_divina_commedia_paradiso_5_1.csv,"colpa e vergogna de l umane voglie,","Perche  la colpa e il biasimo opprimono la volonta ,"
trad_divina_commedia_paradiso_5_1.csv,che parturir letizia in su la lieta,"Freud deve concederlo a Dio gioioso,"
