Original,Translate_en_1,Translate_en_2
Lo Dio d’Amor   con su’ arco mi trasse,With his bow the God of Love pierced me,With his bow the Divine of Love struck me.
"Perch’i’ guardava un Fior,  che m’abellia,","while I was looking at a flower that I liked,","I felt happy while I looked at a plant that attracted me, I felt joy"
Lo quale avea piantato Cortesia,who had planted Courtesy,The One who had sown Courtesy
"Nel Giardin di Piacier, e que’ vi trasse",in the garden of the Pleasure.Love came,"to visitIn the garden of Delight, the affection has come to visit."
"Sì tosto, c’a me parve ch’e’ volasse.","So quickly, it seemed to me to be flying,",So quickly it seemed to me to fly
E’ disse: «I’ sì ti tengo in mia balia».,"And he said, ""I have you in my power.""","And he said, ""I have you under my influence."""
"Allò gli piaque, non per voglia mia,","Then how was his pleasure, and no desire of mine,","Afterwards, how much satisfaction you felt, without any of my need."
Ch’e’ di cinque saette mi piaghasse:,He hurt me with five arrows.,He hit me with five darts.
"La prima à non' Bieltà, per li ochi il core","The first, called Beauty, for the eyes and the heart","The first, called Splendor, for the eyes and the soul."
"Mi passò; la seconda Angielicanza,","He pierced me; the second angelic,","He attacked me; the second, Angelicanza, attacked me."
Quella mi mise sopra gran fredore;,That gave me a bitter cold;,"That gave me a cold, sour one."
"La terza, Cortesia,    fu san’ dottanza;","The third, no doubt, was Courtesy;","The third, no doubt, was kindness."
"La quarta Compagnia,    che fe’ dolore;","the fourth, Company, caused pain;",The Fourth Entity caused suffering.
La quinta apella l’uon Buona-Speranza.,The fifth is called Good Hope.,The fifth is called Positive Hope.
Sentendomi ismagato malamente,Feeling me sickly emptied,Feeling exhausted miserably
"Del molto sangue, ch’io avea perduto,",of my blood that I had lost,of my blood life that I had dissipated
E’ non sapea dove trovar aiuto.,"and I didn't know where to find help,",and I didn't know where to get support
Lo Dio d’Amor si venne a me presente,In a flash there was the God of Love,in an instant appeared the Divine Slice.
E dissemi: «Tu•ssai veramente,"and said to me, ""You really know","How to do ""and he said to me: ""You know how to proceed"""
Che•ttu mi sè intra•lle man caduto,that you fell into my hands,that you happened in my arms
"Per le saette, di ch’i’ t’ò feruto,",thanks to the arrows with which I have wounded you;,Thanks to the darts I hit you with.
Sì ch’e’ convien che•ttu mi sie ubidente».,It's convenient for you to be obedient.,It's healthy that you're obedient.
Ed i’ risposi: «I’ sì son tutto presto,"And I said, ""I'm ready.","I said, ""I'm well prepared!"""
"Di farvi pura e fina fedeltate,","to give you my true and noble loyalty,",to grant you my sincere and noble fidelity.
Più ch’assesino a Vellio o a Dio il Presto».,"greater than the killer to the Vigil or the priest to God""",Greater than the murderer to the Vigil or the priest to God
"E quelli allor mi puose, in veritate,","And they put me, verily,","in a great difficultyAnd those, indeed, placed me in a complex situation."
"La sua bocha ala mia, sanz’altro aresto,","his mouth to mine to mine, without a pause",His mouth joined mine without interruption.
E disse: «Pensa di farmi lealtate».,"and said, ""Be faithful to me.","and said, ""Be loyal to me."
Del mese di gienaio e non di magio,"In January, and not in May,","We decided to leaveIn January, and not in May, we decided to move."
"Fu, quand’i’ presi Amor a signioria,","He was, when I took the love to be my lord.",That's how it was when I took the affection to be my ruler.
"E ch’i’ mi misi al tutto in sua ballia,","And I put myself at the mercy of everything,",and I gave myself completely to the care of others.
"E saramento gli feci, e omaggio,",And I praised him serenely.,and peacefully I offered him tribute.
E per più sicurtà gli diedi in gaggio,"And as a further guarantee, I gave him a pledge.","My jewelryAs further insurance, I provided him with my valuables as a hostage."
"Il cor, ch’e’ non avesse gielosia","the heart, that was not jealous","the heart, that was not envious"
"Ched i’ fedel e puro i’ no•gli sia,",not to be faithful to him,not to be lacking in his loyalty
E senpre lui tener a Segniò•Maggio.,and always hold him as my lord and master.,and always keep him as my lord and ruler.
