Original,Translate_fr_1,Translate_fr_2
Lo Dio d’Amor   con su’ arco mi trasse,"Par son arc, le Dieu de l'Amour m'a transpercé.","Avec son arc, le Divin de l'Amour m'a frappé."
"Perch’i’ guardava un Fior,  che m’abellia,","pendant que je regardais une fleur que j'aimais bien,","Je me suis senti heureux en observant une plante qui m'attirait, j'ai eu de la joie"
Lo quale avea piantato Cortesia,qui avait planté de l'aimableté,Celui qui avait semé l'aimableté
"Nel Giardin di Piacier, e que’ vi trasse",dans le jardin du Plaisir.L'amour est venu,"à visiterDans le jardin de la délice, l'affection est arrivée pour visiter."
"Sì tosto, c’a me parve ch’e’ volasse.","si vite qu'il semblait voler,",si vite qu'il m'a semblé voler
E’ disse: «I’ sì ti tengo in mia balia».,"Et il dit: ""Je t'ai en mon pouvoir.""","Et il a dit: ""Je t'ai sous mon influence."""
"Allò gli piaque, non per voglia mia,","Puis quel fut son plaisir, et aucun de mes désirs,","Par la suite, quelle satisfaction vous avez ressentie, sans aucun de mes besoins."
Ch’e’ di cinque saette mi piaghasse:,Il m'a blessé avec cinq flèches.,Il m'a frappé avec cinq fléchettes.
"La prima à non' Bieltà, per li ochi il core","La première, appelée Beauté, pour les yeux et le cœur","La première, appelée Splendor, pour les yeux et l'âme."
"Mi passò; la seconda Angielicanza,","il m'a transpercé; la seconde, Angélation,","Il m'a attaqué; la seconde, Angélation, il m'a attaqué."
Quella mi mise sopra gran fredore;,Ça m'a donné un froid d'amertume.,Ça m'a donné un glacial glacial.
"La terza, Cortesia,    fu san’ dottanza;",La troisième a sans aucun doute été aimable;,La troisième était sans aucun doute la gentillesse.
"La quarta Compagnia,    che fe’ dolore;","la quatrième, Compagnie, a causé la douleur;",La quatrième entité a causé des souffrances.
La quinta apella l’uon Buona-Speranza.,La cinquième s'appelle Bonne Espérance.,La cinquième s'intitule Espérance Positive.
Sentendomi ismagato malamente,En me sentant mal vidé,En me sentant misérablement épuisé
"Del molto sangue, ch’io avea perduto,",de mon sang que j'avais perdu,de ma vie de sang que j'avais dissimulée
E’ non sapea dove trovar aiuto.,"et je ne savais pas où trouver de l'aide,",et je ne savais pas d'où obtenir le soutien
Lo Dio d’Amor si venne a me presente,en un éclair il y avait le Dieu de l'Amour,Le Divin de l'Affectation apparut en un instant.
E dissemi: «Tu•ssai veramente,et il me dit: Tu sais vraiment,"Il m'a dit: ""Tu sais comment faire."""
Che•ttu mi sè intra•lle man caduto,que tu es tombé entre mes mains,que tu es arrivé dans mes bras
"Per le saette, di ch’i’ t’ò feruto,",grâce aux flèches avec lesquelles je t'ai blessé;,Grâce aux fléchettes avec lesquelles je t'ai frappé.
Sì ch’e’ convien che•ttu mi sie ubidente».,C'est pratique que tu sois obéissant.,C'est sain que tu sois obéissant.
Ed i’ risposi: «I’ sì son tutto presto,"Et j'ai répondu: ""Je suis prêt.","J'ai répondu: ""Je suis bien préparé !"""
"Di farvi pura e fina fedeltate,","pour te donner ma vraie et noble loyauté,",pour t'accorder ma fidélité sincère et noble.
Più ch’assesino a Vellio o a Dio il Presto».,"aîné de l'assassin au Vieux ou du Prêtre à Dieu""",plus grand que le meurtrier au Vigile ou que le prêtre à Dieu
"E quelli allor mi puose, in veritate,","Et en vérité, ils m'ont posé.","dans une grande difficultéEt ceux-ci, en effet, m'ont placé dans une situation complexe."
"La sua bocha ala mia, sanz’altro aresto,","sa bouche à la mienne, sans une pause",Sa bouche se joignit à la mienne sans interruption.
E disse: «Pensa di farmi lealtate».,"Et il dit: ""Soyez fidèles à moi.","Et il dit: ""Soyez fidèles à moi."
Del mese di gienaio e non di magio,"En janvier, et pas en mai,","Nous avons décidé de partir en janvier, et non en mai, nous avons décidé de partir."
"Fu, quand’i’ presi Amor a signioria,",Ça l'était quand j'ai pris l'amour pour être mon seigneur.,C'était comme ça quand j'ai pris l'affection pour être mon souverain.
"E ch’i’ mi misi al tutto in sua ballia,","et je me suis mis complètement à la merci,",et je me suis complètement abandonné aux soins d'autrui.
"E saramento gli feci, e omaggio,",Et je lui ai rendu hommage en toute sérénité.,et je lui offrai paisiblement un tribut.
E per più sicurtà gli diedi in gaggio,"Et comme garantie supplémentaire, je lui ai donné en gage","Mes bijouxEn plus d'assurance, je lui ai donné en otage mes précieux."
"Il cor, ch’e’ non avesse gielosia","le cœur, qu'il ne soit pas jaloux","le cœur, qui n'était pas jaloux"
"Ched i’ fedel e puro i’ no•gli sia,",pour ne pas lui être fidèle,pour ne pas manquer à sa fidélité
E senpre lui tener a Segniò•Maggio.,et que vous le reteniez toujours comme mon seigneur et maître.,et gardez-le toujours comme mon seigneur et mon souverain.
"Allor que’ prese il cor e disse: «Amico,",Puis il prit mon cœur et dit:,"Tu n'as plus besoin de moi.""Puis il prit mon cœur et déclara: ""Compagne, tu n'as plus besoin de mon soutien."""
I’ son segnior assa’ forte a servire;,Je suis un homme très exigeant à servir.,Je suis un gentleman très exigeant à satisfaire.
"Ma chi mi serve, per cierto ti dico,","Mais en vérité, je vous le dis, celui dont j'ai besoin",est plus grand que mema en fait je vous dis que celui qui m'aide est plus important que moi
"Ch’ala mia grazia non può già fallire,","Il ne manquera jamais de gagner ma faveur,",Vous ne pourrez jamais perdre mon enthousiasme.
"E di buona speranza i’ ’l mi notrico,",et je le nourrirai d'une bonne espérance,et je le nourrirai d'espoir optimiste
Infin ch’i’ gli fornischa su’ disire».,Jusqu'à ce que j'aie satisfait votre souhait.,Jusqu'à ce que j'exauce sa volonté.
Con una chiave d’oro mi fermò il core,"Avec une clé d'or, l'amour m'a fermé le cœur.","Avec une clé précieuse, l'affection a scellé mon cœur."
"L’Amor,    quando così m’ebe parlato,","L'amour, après m'avoir parlé,","Il m'a regardé L'amour, après m'avoir exposé son opinion, il m'a fixé."
"Ma prima mente l’à nett’e parato,",mais avant tout il a purifié et préparé,mais avant tout il a purifié et rendu prêt
Sì c’ogni’altro pensier n’à pinto fore.,pour qu'il chasse toutes les autres pensées.,de manière à exclure toute autre idée.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Et il me dit: Comme je suis ton Seigneur,","Tu dois me faire obéir. Puis il me dit: En me considérant comme ton Souverain, tu dois te soumettre à moi."
E tu sì sè di me fedel giurato.,Et tu es de moi un fidèle juré.,Et tu es un témoin loyal pour moi.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Maintenant assurez-vous que votre cœur ne soit pas occupé,Assure-toi que ton cœur ne soit pas occupé.
Se non di fino e di leal amore.,avec loin d'être noble et vrai amour.,avec beaucoup de dignité et d'affection sincère.
E pensa di portar in pacienza,Et n'oublie pas d'être patient.,Souviens-toi d'être tolérant.
"La pena, che per me avra’ a sofrire,","la peine que tu souffriras à cause de moi,",l'affliction que tu souffriras à ma responsabilité
"Inanzi ch’io ti doni mia sentenza,",Avant que je te donne mon verdict.,Avant que je te donne ma sentence.
Ché molte volte ti parrà morire:,Que vous pensez souvent mourir:,Que de nombreux moments vous éprouvez le désir de passer à l'autre.
"Un’ora gioia avrai, altra, doglienza.","une heure tu seras heureuse, une autre triste,","Une heure, tu seras content, une autre."
Ma po’ i’ dono argomento di guerire».,Mais je vous donne un remède pour guérir.,Mais alors je vous donne un remède pour restaurer
Con grande umilitate e pacienza,Avec beaucoup d'humilité et de patience,Avec une grande humilité et une grande persévérance
"Promisi a Amor a sofferir sua pena,",J'ai promis à l'amour que je souffrirais de sa douleur.,J'ai promis à l'amour que je partagerais son tourment
"E c’ognie membro, ch’i’ avea, e vena","et que tous mes membres, que j'ai et veine","et que chacun de mes membres, que j'ai et que je vague"
Disposat’era a farli sua voglienza;,Ils étaient prêts à faire sa volonté.,Ils étaient prêts à accomplir son désir.
E solo a lui servire la mia credenza,Et c'est à lui seul que mon credo servira.,C'est à lui seul que mon fidèle hommage sera rendu.
"È ferma, né di ciò mai nonn-alena,",et ne cessera jamais de le faire:,et il n'arrêtera jamais de le faire.
"Insin ched i’ avrò spirito o lena,",Tant que je vivrai et respirerai,"Tant que je serai en vie, je respirerai."
I’ non farò da•cciò giama’ partenza.,Je ne m'éloignerai jamais de cette promesse.,Je ne m'éloignerai jamais de cet engagement.
"E quelli allor mi disse: «Amico meo,","Et ils me dit: Mon ami,","Tu es venu, et il me dit: Mon compagnon, tu es arrivé."
I’ ò da•tte miglior pegnio che charte.,Ton gage est meilleur que n'importe quelle promesse écrite:,Votre contrainte est supérieure à n'importe quelle garantie verbale.
"Fa che m’adori, ched i’ son tu’ Deo,",Fais que tu m'aimes parce que je suis ton dieu.,Fais que tu me vénères parce que je suis ton divin.
"Ed ogn’altra credenza    metti a parte,",et mettre de côté toute autre foi:,abandonner toutes les autres religions
"Né non creder né Lucha, né Matteo,","Ne crois pas Luc ou Matthieu,","Crois-moi, fais-moi confiance en Luc ou Matthieu, fais-moi confiance."
"Né Marco, né Giovanni». Allor si parte.","Ni à Marc, ni à Jean, et il s'en va.","Ni à Marc, ni à Jean, ne part ensuite."
"Partes’Amor, su’ ale battendo,","L'amour part avec un battement d'ailes,",L'amour commence par un battement d'ailes.
"E ’n poca d’or sì forte isvanoio,","Et en un instant, il a disparu si vite.","Et en un instant, il s'évanouit avec célérité."
"Ched i’  no ’l vidi poi, né no•ll’udio,",que je ne l'ai plus jamais vu ni entendu;,que je ne l'ai plus vu ni entendu.
E•llui e ’l su’ soccorso ancor atendo.,Mais j'attends toujours lui et son aide.,Mais j'attends toujours de lui et de son aide.
Allor mi venni forte ristrignendo,Puis je me suis approché de plus en plus.,Puis je me suis approché de plus en plus.
"Verso del Fior, che•ssì forte m’ulio,",à la Fleur dont le parfum m'a sorcié,à la Fleur à l'arôme qui m'a enchanté
"E per chu’ feci homagio a questo Dio,",et pour lesquels j'ai rendu hommage à ce dieu.,et avec qui se mettre en adoration à ce dieu.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","J'ai dit, qui m'empêche de l'arracher ?","J'ai demandé: ""Qui m'interdit de l'éradiquer ?"""
"Sì ch’i’ verso del Fior tesi la mano,","Et j'ai étendu ma main vers la Fleur,",J'ai donc étendu ma main vers la Fleur.
"Credendolo  aver colto chitamente,",Je pensais pouvoir m'en sortir librement.,J'imaginais me gérer moi-même.
Ed i’  vidi venir un gran villano,Et j'ai vu un homme gros et impoli venir.,Et j'ai vu arriver un homme lourd et brutal.
Con una maza. E’ disse: «Or ti ste’ a mente,"avec un bâton dans la main, disant: Maintenant garder à l'esprit","Avec une baguette en main, en exhortant: Souvenez-vous-en bien"
"Ch’i’  son lo Schifo, e sì son ortolano","que je suis la Résistance, et que je suis le gardien","Je suis la Force d'Opposition, et je garde les principes auxquels je tiens."
D’esto giardin. I’  ti  farò dolente».,Je l'ai fait souffrir.,J'ai fait souffrir ce parc.
Molto vilmente mi buttò di fora,"Avec beaucoup d'impolitesse, il m'a jeté dehors,","Avec une grande cruauté, il m'a viré."
"Lo Schifo, crudo, fello e oltragioso,","la résistance cruelle, vicieuse et violente,","La résistance féroce, dépravée et brutale."
"Sì ch’e’ del Fior non cred’esser gioioso,","de sorte que je pense que je ne vais pas aimer avec la Fleur,",Pour que je ne sois pas heureux avec la Fleur.
Se Pietate e Francheza no•ll’acora.,Sauf si la miséricorde et la sincérité s'en vont avec lui.,Sauf que la compassion et l'honnêteté ne s'en vont pas avec lui.
"Ma prima, credo, converà ch’eo mora,","Mais avant que ça arrive, je pense que je vais mourir.","Avant que ça n'arrive, je suis convaincu que je vais rencontrer ma fin."
Perché ’l me’ cor stà tanto doglioso,depuis que mon cœur est dans tant de douleur,Puisque mon cœur est dans une si grande souffrance
"Di quel villan,  che stava là nascoso,",à cause de cet homme minable qui se cachait là-bas.,"à cause de cet homme écœuré, qui se cachait là-bas."
Di chu’ non mi prendea guardia quell’ora.,et contre lesquels je n'ai pris aucune précaution à ce moment crucial.,et auxquels je n'ai adopté aucun garde pendant cette période décisive.
Or m’à messo in pensero e in dottanza,Ça m'a fait peur et m'a fait peur.,Ça m'a fait peur et m'a fait peur.
"Di ciò, ched i’ credea aver per ciertano,",Pour ce que je croyais avoir,pour ce que je pensais avec une certitude absolue
Sì c’or me ne par essere in bilanza.,J'ai l'impression qu'elle est en danger.,J'ai l'impression qu'elle est en danger.
"E tutto ciò m’à fatto quello strano,","Et tout ça, c'est ce sauvage qui m'a fait ça !",Et tout ça m'a donné ce barbare !
"Ma di lui mi richiamo a Pietanza,","Mais je ferai appel à la miséricorde sur lui,",Je ferai appel à la compassion pour lui.
Che vengha a•llui collo spunton in mano.,pour qu'il puisse l'affronter avec sa lance à la main.,pour qu'il puisse l'affronter avec son épée.
"Se mastro Arghùs, che fecie la nave,","Si Maître Argus, qui a construit le navire","Si Maître Argus, qui a construit le navire, n'était pas si compétent, nous serions toujours là."
"In che Giasòn  andò per lo tosone,","que Jason cherchait le Puce d'Or,",que Jason cherchait le Joyau d'Or
"E fecie a conto regole, e ragione,",et qui ont inventé les règles et la logique pour le calcul,Et ils ont conçu les normes et la raison pour l'élaboration.
"E le diecie figure, com’on save,","et les dix signes numériques, comme chacun le sait,","sont 0, 1, 2, 3, 4, 5, 6, 7 , 8 et 9 et les dix symboles numériques comme chacun sait sont 0, 1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 et 9"
