Original,Translate_de_1,Translate_de_2
Lo Dio d’Amor   con su’ arco mi trasse,Mit seinem Bogen durchbohrte mich der Gott der Liebe,Mit seinem Bogen schlug mich der Göttliche der Liebe.
"Perch’i’ guardava un Fior,  che m’abellia,","Als ich mir eine Blume ansah, die ich mochte,","Ich fühlte mich glücklich, als ich eine Pflanze beobachtete, die mich anzog, ich fühlte Freude"
Lo quale avea piantato Cortesia,der mit Höflichkeit gepflanzt hatte,"Derjenige, der Höflichkeit gesät hatte"
"Nel Giardin di Piacier, e que’ vi trasse",im Garten des Vergnügens.Liebe kam,"BesuchenIm Garten der Freude, kam die Zuneigung zu besuchen."
"Sì tosto, c’a me parve ch’e’ volasse.","so schnell, dass ich dachte, ich würde fliegen,","so schnell, dass es schien zu fliegen"
E’ disse: «I’ sì ti tengo in mia balia».,"Und er sagte: ""Ich habe dich in meiner Macht.""","Und er sagte: ""Ich habe dich unter meinem Einfluss."""
"Allò gli piaque, non per voglia mia,","Und wie war sein Vergnügen und kein Wunsch von mir,","Später, wie zufrieden Sie waren, ohne meine Bedürfnisse."
Ch’e’ di cinque saette mi piaghasse:,Er hat mich mit fünf Pfeilen verletzt.,Er hat mich mit fünf Pfeilen geschlagen.
"La prima à non' Bieltà, per li ochi il core","Die erste, die Schönheit genannt wird, für die Augen und das Herz","Die erste, ""Splendore"" genannt, für Augen und Seele."
"Mi passò; la seconda Angielicanza,","Er durchbohrte mich; der zweite Engel,","Er griff mich an; die zweite, Angelisza, griff mich an."
Quella mi mise sopra gran fredore;,Das gab mir eine bittere Kälte;,"Die hat mir einen eisigen, rauhen Kerl gegeben."
"La terza, Cortesia,    fu san’ dottanza;",Die dritte war zweifellos Höflichkeit;,Die dritte ohne Zweifel war Freundlichkeit.
"La quarta Compagnia,    che fe’ dolore;","Die vierte, Kompanie, hat Schmerzen verursacht.",Die vierte Entität hat Leid verursacht.
La quinta apella l’uon Buona-Speranza.,"Die fünfte ist ""Frohe Hoffnung.""","Der fünfte Titel lautet ""Positive Hoffnung."""
Sentendomi ismagato malamente,Ich fühlte mich schlecht geleert,Ich fühlte mich ermüdet
"Del molto sangue, ch’io avea perduto,","von meinem Blut, das ich verloren hatte","von meinem Blutleben, das ich zerstreut hatte"
E’ non sapea dove trovar aiuto.,"Und ich wusste nicht, wo ich Hilfe finden sollte,","und ich wusste nicht, woher ich Unterstützung kriege."
Lo Dio d’Amor si venne a me presente,in einem Blitz war der Gott der Liebe,In einem Augenblick erschien der Göttliche des Leidens.
E dissemi: «Tu•ssai veramente,und sprach zu mir: Du weißt es wirklich,"Und er sagte zu mir: ""Du weißt genau, wie du vorgehen sollst."""
Che•ttu mi sè intra•lle man caduto,daß du in meine Hände gefallen bist,Dass du in meinen Armen gelandet bist
"Per le saette, di ch’i’ t’ò feruto,","Dank der Pfeile, mit denen ich dich verletzt habe;","Dank der Pfeile, mit denen ich dich geschlagen habe."
Sì ch’e’ convien che•ttu mi sie ubidente».,"Es ist gut, dass du gehorsam bist.","Es ist gesund, dass du gehorsam bist."
Ed i’ risposi: «I’ sì son tutto presto,"Und ich antwortete: ""Ich bin bereit","Ich sagte: ""Ich bin gut vorbereitet!"""
"Di farvi pura e fina fedeltate,","um dir meine wahre und edle Loyalität zu geben,",um dir meine aufrichtige und edle Treue zu erweisen.
Più ch’assesino a Vellio o a Dio il Presto».,"Major des Wächtermörders oder des Priesters vor Gott""",Größer als der Mörder im Vigil oder der Priester bei Gott
"E quelli allor mi puose, in veritate,","Und sie stellten mich, wahrlich,",in einer großen SchwierigkeitUnd die haben mich in der Tat in eine komplexe Situation gebracht.
"La sua bocha ala mia, sanz’altro aresto,","sein Mund zu meinem, ohne eine Pause",Sein Mund schloß sich mir ohne Unterbrechung an.
E disse: «Pensa di farmi lealtate».,"und sagte: ""Seid mir treu.","und sagte: ""Seid mir gegenüber loyal."
Del mese di gienaio e non di magio,"Im Januar, und nicht im Mai,","Wir beschlossen, im Januar zu starten, und nicht im Mai, beschlossen wir, uns zu bewegen."
"Fu, quand’i’ presi Amor a signioria,","Das war er, als ich die Liebe nahm, um mein Herr zu sein.","So war es, als ich die Zuneigung nahm, mein Herrscher zu sein."
"E ch’i’ mi misi al tutto in sua ballia,","Und ich machte mich ganz in die Hölle,",Und ich überließ mich völlig der Obhut anderer.
"E saramento gli feci, e omaggio,",Und ich lobte ihn friedlich.,Und ich bot ihm friedlich Tribut an.
E per più sicurtà gli diedi in gaggio,Und als zusätzliche Garantie gab ich ihm Pfand,Meine JuwelenAls zusätzliche Versicherung lieferte ich ihm meine kostbaren Geiseln.
"Il cor, ch’e’ non avesse gielosia","das Herz, das nicht eifersüchtig war","das Herz, das nicht neidisch war"
"Ched i’ fedel e puro i’ no•gli sia,",um ihm nicht treu zu sein,um seine Loyalität nicht zu verfehlen
E senpre lui tener a Segniò•Maggio.,und halte ihn immer so fest wie meinen Herrn und Meister.,Und bewahre ihn immer als meinen Herrn und Souverän auf.
"Allor que’ prese il cor e disse: «Amico,","Dann nahm er mein Herz und sagte: ""Freund,","Du brauchst mich nicht mehr.""Dann nahm er mein Herz und sagte: ""Kompater, du brauchst meine Unterstützung nicht mehr."""
I’ son segnior assa’ forte a servire;,Ich bin ein sehr anspruchsvoller Herr zu dienen.,Ich bin ein sehr anspruchsvoller Gentleman.
"Ma chi mi serve, per cierto ti dico,","Aber wahrlich, ich sage euch: Der, der mir dient,","ist größer als Mema, ich sage euch, wer mir beisteht, ist wichtiger als ich."
"Ch’ala mia grazia non può già fallire,","Er wird nie versäumen, meine Gunst zu besiegen,",Sie werden nie meine Begeisterung verlieren.
"E di buona speranza i’ ’l mi notrico,",Und ich will ihn mit guter Hoffnung ernähren.,Und ich will ihn mit optimistischer Hoffnung ernähren.
Infin ch’i’ gli fornischa su’ disire».,bis ich seinen Wunsch erfüllt habe.,bis ich seinen Willen erfüllt habe.
Con una chiave d’oro mi fermò il core,"Mit einem goldenen Schlüssel hat die Liebe mein Herz verschlossen,",Mit einem wertvollen Schlüssel versiegelte die Zuneigung mein Herz.
"L’Amor,    quando così m’ebe parlato,","Die Liebe, nachdem sie mit mir gesprochen hat,","Sie hat mich angeschautDie Liebe, nachdem sie mir ihre Meinung dargelegt hat, hat mich angestarrt."
"Ma prima mente l’à nett’e parato,",aber vor allem hat er gereinigt und bereitet,aber vor allem hat er gereinigt und bereit gemacht
Sì c’ogni’altro pensier n’à pinto fore.,damit er alle anderen Gedanken verbannte.,um jede andere Idee auszuschließen.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Und er sprach zu mir: Wie ich dein Herr bin,","Du musst mir gehorchen.Dann sagte er zu mir: ""Indem du mich als deinen Souverän betrachtest, mußt du mir untertan sein."""
E tu sì sè di me fedel giurato.,Und du bist ein treuer Geschworener von mir,Und du bist ein loyaler Zeuge für mich
Or guarda che ’l tu’ cuor    non sia ’mpacciato,"Jetzt stellen Sie sicher, dass Ihr Herz nicht beschäftigt ist","Stellen Sie jetzt sicher, dass Ihr Herz nicht beschäftigt ist"
Se non di fino e di leal amore.,mit nichts als edler und wahrer Liebe.,mit nichts als Würde und aufrichtiger Zuneigung.
E pensa di portar in pacienza,"Und vergiss nicht, Geduld mitzubringen.","Denke daran, tolerant zu sein"
"La pena, che per me avra’ a sofrire,","den Schmerz, den du wegen mir erleiden wirst,","das Leid, das du für mich erleiden wirst."
"Inanzi ch’io ti doni mia sentenza,",Bevor ich dir mein Urteil gebe.,Bevor ich dir mein Urteil gebe.
Ché molte volte ti parrà morire:,"Dass du oft denkst, du stirbst.","Möge es viele Momente geben, in denen ihr den Wunsch habt, zum anderen zu wechseln."
"Un’ora gioia avrai, altra, doglienza.","Eine Stunde wirst du glücklich sein, eine weitere traurige Stunde,","Du wirst eine Stunde glücklich sein, eine weitere traurige Stunde."
Ma po’ i’ dono argomento di guerire».,"aber dann gebe ich euch ein Heilmittel, um zu heilen",Aber dann gebe ich Ihnen ein Heilmittel für die Wiederherstellung
Con grande umilitate e pacienza,Mit viel Demut und Geduld,Mit großer Demut und Ausharren
"Promisi a Amor a sofferir sua pena,","Ich versprach der Liebe, dass ich ihren Schmerz erleiden würde.","Ich versprach der Liebe, dass ich ihre Qual teilen würde."
"E c’ognie membro, ch’i’ avea, e vena","und dass alle meine Arme, die ich habe und vene","und dass alle meine Mitglieder, die ich habe und vage"
Disposat’era a farli sua voglienza;,"Sie waren bereit, seinen Willen zu tun.","Sie waren bereit, seinen Wunsch zu erfüllen."
E solo a lui servire la mia credenza,Und nur er wird meinen Glauben brauchen.,Nur ihm wird meine treue Ehre erwiesen werden.
"È ferma, né di ciò mai nonn-alena,","Und er wird nie aufhören, das zu tun:","Und er wird nie aufhören, das zu tun."
"Insin ched i’ avrò spirito o lena,",Solange ich lebe und atme,Solange ich lebe und atme.
I’ non farò da•cciò giama’ partenza.,Ich werde mich nie von diesem Versprechen abwenden.,Ich werde mich nie von dieser Verpflichtung abwenden.
"E quelli allor mi disse: «Amico meo,","Und sie sprachen zu mir: Mein Freund,","Da kamst du und sprach zu mir: Mein Genosse, du bist gekommen."
