Original,Translate_es_1,Translate_es_2
Lo Dio d’Amor   con su’ arco mi trasse,"Con su arco, el Dios del Amor me atravesó","Con su arco, el Divino del Amor me impresionó."
"Perch’i’ guardava un Fior,  che m’abellia,","Mientras veía una flor que me gustaba,","Me sentí feliz al observar una planta que me atraía, me sentí feliz"
Lo quale avea piantato Cortesia,El cual había plantado gentileza,Aquel que había sembrado gentileza
"Nel Giardin di Piacier, e que’ vi trasse",en el jardín del placer.El amor vino,"a visitarEn el jardín de la Delicia, el afecto ha llegado a visitar."
"Sì tosto, c’a me parve ch’e’ volasse.","Tan rápido que me pareció volar,",Tan rápido que parecía volar.
E’ disse: «I’ sì ti tengo in mia balia».,"Y dijo: ""Te tengo en mi poder.""","Y dijo: ""Te tengo bajo mi influencia."""
"Allò gli piaque, non per voglia mia,","Entonces, ¿cómo fue su placer, y ningún deseo mío,","Más tarde, ¿cuánta satisfacción ha sentido usted, sin ninguna necesidad mía?"
Ch’e’ di cinque saette mi piaghasse:,Me hirió con cinco flechas.,Me golpeó con cinco dardos.
"La prima à non' Bieltà, per li ochi il core","La primera, llamada Belleza, para los ojos y el corazón","La primera, llamada Esplendor, para los ojos y el alma."
"Mi passò; la seconda Angielicanza,","Me atravesó; la segunda, Angeliganza,","Me atacó, y la segunda, Angeliganza, me atacó."
Quella mi mise sopra gran fredore;,Ella me dio un frío amargo;,Esa chica me dio un helado.
"La terza, Cortesia,    fu san’ dottanza;","La tercera fue, sin duda, cortesía.","La tercera, sin duda alguna, fue gentileza."
"La quarta Compagnia,    che fe’ dolore;","la cuarta, Compañía, ha causado dolor;",La cuarta entidad ha causado sufrimiento.
La quinta apella l’uon Buona-Speranza.,La quinta se llama Buena Esperanza.,La quinta se titula Esperanza Positiva.
Sentendomi ismagato malamente,Escuchándome vaciar mal,Me sentí exhausto miserablemente
"Del molto sangue, ch’io avea perduto,",de mi sangre que yo había perdido,de mi vida sanguínea que había disipado
E’ non sapea dove trovar aiuto.,"Y no sabía dónde encontrar ayuda,",Y no sabía de dónde conseguir apoyo.
Lo Dio d’Amor si venne a me presente,En un instante estaba el Dios del Amor,En un instante apareció el Divino del Afecto.
E dissemi: «Tu•ssai veramente,Y me dijo: --De veras sabes,"Cómo hacer""y me dijo: ""Tú sabes exactamente cómo proceder"""
Che•ttu mi sè intra•lle man caduto,Que caíste en mis manos,que te has metido en mis brazos
"Per le saette, di ch’i’ t’ò feruto,",gracias a las flechas con las que te he herido;,Gracias a los dardos con los que te golpeé.
Sì ch’e’ convien che•ttu mi sie ubidente».,Es conveniente que seas obediente.,Es saludable que seas obediente.
Ed i’ risposi: «I’ sì son tutto presto,"Y yo dije: ""Yo estoy listo.","Yo dije: ""¡Estoy bien preparado!"""
"Di farvi pura e fina fedeltate,","para darte mi verdadera y noble lealtad,",para darte mi honesta y noble lealtad.
Più ch’assesino a Vellio o a Dio il Presto».,"Mayor del asesino en el Velio o del sacerdote a Dios""",más grande que el asesino en el Vigilio o el Sacerdote a Dios
"E quelli allor mi puose, in veritate,","Y ellos, en verdad, me pusieron","en una gran dificultad y, de hecho, me situaron en una situación compleja."
"La sua bocha ala mia, sanz’altro aresto,","Su boca a la mía, a la mía, sin un descanso",Su boca se unió a la mía sin interrupción.
E disse: «Pensa di farmi lealtate».,"Y dijo: ""Sean fieles a mí.","Y dijo: ""Sean leales a mí."
Del mese di gienaio e non di magio,"En enero, y no en mayo,","Decidimos partirEn enero, y no en mayo, decidimos movernos."
"Fu, quand’i’ presi Amor a signioria,","Lo era, cuando tomé el amor para ser mi señor.",Así era cuando tomé el afecto por ser mi gobernante.
"E ch’i’ mi misi al tutto in sua ballia,","y me puse completamente a merced de ella,",y me abandoné por completo al cuidado de otros.
"E saramento gli feci, e omaggio,",Y serenamente le rindí homenaje.,Y le ofrecí un tributo pacífico.
E per più sicurtà gli diedi in gaggio,"Y como garantía adicional, le di en prenda","Mis joyas Como seguro adicional, le di como rehén mis preciosas."
"Il cor, ch’e’ non avesse gielosia","el corazón, que no estuviera celoso","el corazón, que no fuera envidioso"
"Ched i’ fedel e puro i’ no•gli sia,",para no ser fiel a él,para no faltar a su lealtad
E senpre lui tener a Segniò•Maggio.,Y que lo retenga siempre como mi señor y amo.,y guárdelo siempre como mi señor y soberano.
"Allor que’ prese il cor e disse: «Amico,","Luego tomó mi corazón y dijo: ""Amigo,","Ya no me necesitas""Después tomó mi corazón y declaró: ""Compañero, no necesito más mi apoyo."""
I’ son segnior assa’ forte a servire;,Soy un caballero muy exigente para servir.,Soy un caballero muy exigente.
"Ma chi mi serve, per cierto ti dico,",Pero de cierto os digo que el que me sirve,"Es más grande que mema, en realidad os digo que los que me ayudan son más importantes que yo."
"Ch’ala mia grazia non può già fallire,","nunca dejará de ganar mi favor,",Nunca podrá perder mi entusiasmo.
"E di buona speranza i’ ’l mi notrico,",Y lo alimentaré de buena esperanza,Y lo alimentaré de esperanza optimista
Infin ch’i’ gli fornischa su’ disire».,Hasta que cumpla su deseo.,Hasta que cumpla con su voluntad.
Con una chiave d’oro mi fermò il core,"Con una llave de oro, el amor me cerró el corazón.","Con una llave preciosa, el afecto selló mi corazón."
"L’Amor,    quando così m’ebe parlato,","El amor, después de hablar conmigo,","Me miró El amor, después de exponerme su opinión, me miró fijamente."
"Ma prima mente l’à nett’e parato,","Pero primero, purificó y preparó","Pero en primer lugar, limpió y arregló"
Sì c’ogni’altro pensier n’à pinto fore.,para que expulsara cualquier otro pensamiento.,para descartar cualquier otra idea.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Entonces me dijo: ""Como yo soy tu Señor,","Tú debes obedecerme.""Entonces me dijo: ""Considerándome como tu Soberano, tienes que sujetarme a mí."""
E tu sì sè di me fedel giurato.,Y tú eres de mí un fiel jurado.,Y tú eres un testigo leal para mí.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Ahora asegúrate de que tu corazón no esté ocupado.,Asegúrate de que tu corazón no esté ocupado.
Se non di fino e di leal amore.,con todo menos noble y verdadero amor.,con todo menos dignidad y afecto genuino.
E pensa di portar in pacienza,Y asegúrate de tener paciencia.,Acuérdate de ser tolerante.
"La pena, che per me avra’ a sofrire,","la pena que sufrirás por mi culpa,",la inflicción que sufrirás a mi responsabilidad
"Inanzi ch’io ti doni mia sentenza,",Antes de que te dé mi veredicto.,Antes de que te dé mi sentencia.
Ché molte volte ti parrà morire:,Que muchas veces piensas que vas a morir:,Que muchos momentos usted siente el deseo de pasar al otro lado.
"Un’ora gioia avrai, altra, doglienza.","Una hora serás feliz, otra triste,","Una hora estarás contento, otra desdichada."
Ma po’ i’ dono argomento di guerire».,Pero luego os doy un remedio para sanar,Pero entonces os doy una cura para restaurar
Con grande umilitate e pacienza,Con mucha humildad y paciencia,Con gran humildad y aguante
"Promisi a Amor a sofferir sua pena,",Le prometí a Amor que sufriría su dolor,Le prometí a Amor que compartiría su tormento
"E c’ognie membro, ch’i’ avea, e vena",y que cada miembro que tengo y vena,"y que cada uno de mis miembros, que yo tengo y vago"
Disposat’era a farli sua voglienza;,Estaban listos para hacer su voluntad.,Estaban preparados para cumplir su deseo.
E solo a lui servire la mia credenza,Y sólo a él le servirá mi credo.,Sólo a él se le rendirá mi fiel homenaje.
"È ferma, né di ciò mai nonn-alena,",y nunca dejará de hacerlo:,Y nunca dejará de hacerlo.
"Insin ched i’ avrò spirito o lena,",Mientras viva y respire.,Mientras viva y respire.
I’ non farò da•cciò giama’ partenza.,Nunca me alejaré de esa promesa.,Nunca me apartaré de este compromiso.
"E quelli allor mi disse: «Amico meo,","Y me dijo: Amigo mío,","Tú has venido, y él me dijo: Compañero mío, tú has venido"
I’ ò da•tte miglior pegnio che charte.,tu prenda es mejor que cualquier promesa escrita:,Tu restricción es mayor que cualquier garantía verbal.
"Fa che m’adori, ched i’ son tu’ Deo,","Hazme adorar, porque yo soy tu Dios.",Haz que me adoras porque yo soy tu divino.
"Ed ogn’altra credenza    metti a parte,",y dejar a un lado cualquier otra fe:,Abandonar cualquier otra religión
"Né non creder né Lucha, né Matteo,","no creas en Lucas o en Mateo,","Confía en menos en que tengas fe en Lucas o Mateo, confiar en mí"
"Né Marco, né Giovanni». Allor si parte.","Ni a Marcos, ni a Juan, y luego se va.","Ni a Marcos, ni a Juan, luego se despide."
"Partes’Amor, su’ ale battendo,","El amor comienza con un latido de alas,",El amor comienza con un latido de alas.
"E ’n poca d’or sì forte isvanoio,",Y en un instante desapareció tan rápido.,Y en un instante se desvaneció rápidamente
"Ched i’  no ’l vidi poi, né no•ll’udio,",que no lo he visto ni oído nunca más;,que ya no lo he visto ni oído.
E•llui e ’l su’ soccorso ancor atendo.,Pero sigo esperando por él y su ayuda.,Pero todavía le espero a él y a su ayuda.
Allor mi venni forte ristrignendo,Luego me acerqué más y más.,Luego me acerqué más y más.
"Verso del Fior, che•ssì forte m’ulio,",a la Flor cuyo perfume me encantó,a la Flor con el aroma que me encantó
"E per chu’ feci homagio a questo Dio,",y por los cuales hice homenaje a este dios.,y con quien adorar a este dios.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»",Dije: ¿Quién me impide arrancarlo?,Pregunté: ¿Quién me prohíbe desarraigarlo?
"Sì ch’i’ verso del Fior tesi la mano,","Así que expliqué mi mano hacia la Flor,",Así que extendí mi mano hacia la Flor.
"Credendolo  aver colto chitamente,",Pensé que podría arreglármelas libremente.,Pensé que podría manejarme a mí misma.
Ed i’  vidi venir un gran villano,Y vi venir a un hombre grande y grosero.,Y vi venir a un hombre pesado y violento
Con una maza. E’ disse: «Or ti ste’ a mente,"con el palo en la mano, diciendo: Ahora ten en cuenta","Con una varita en la mano, exhortando: ""Acuérdate bien de él"
"Ch’i’  son lo Schifo, e sì son ortolano","que yo soy la Resistencia, y que soy el guardián","De mis ideales soy la Fuerza de Oposición, y guardo los principios que me importan."
D’esto giardin. I’  ti  farò dolente».,Lo he hecho sufrir.,He causado sufrimiento a este parque.
Molto vilmente mi buttò di fora,"Con mucha descortesía me echó,",Con gran rudeza me echó.
"Lo Schifo, crudo, fello e oltragioso,","la cruel, viciosa y violenta Resistencia,","La feroz, depravada y brutal Resistencia."
"Sì ch’e’ del Fior non cred’esser gioioso,","por lo que creo que no voy a disfrutar con la Flor,",Así que creo que no seré feliz con la Flor.
Se Pietate e Francheza no•ll’acora.,A menos que la misericordia y la sinceridad se vayan con él.,Excepto que la Compasión y la Honestidad no se van con él.
"Ma prima, credo, converà ch’eo mora,","Pero antes de que eso pase, creo que voy a morir.","Antes de que esto ocurra, estoy convencido de que me voy a encontrar con mi fin."
Perché ’l me’ cor stà tanto doglioso,ya que mi corazón es en tanto dolor,Ya que mi corazón está en tanto sufrimiento
"Di quel villan,  che stava là nascoso,","Por culpa de ese hombre cursi, que se escondía allí.","A causa de esa persona despiadada, que se escondía allí"
Di chu’ non mi prendea guardia quell’ora.,y contra los que no tomé ninguna precaución en ese momento crucial.,y a los que no aprobé ningún guardia durante ese período decisivo.
Or m’à messo in pensero e in dottanza,"Ahora eso me ha hecho preocupar y temer,",Ahora eso me ha hecho ansioso y asustado.
"Di ciò, ched i’ credea aver per ciertano,",Por lo que pensé que tenía por seguro.,por lo que pensé con absoluta certeza
Sì c’or me ne par essere in bilanza.,Ahora me parece que está en peligro.,Ahora me parece que está en peligro.
"E tutto ciò m’à fatto quello strano,",¡Y todo esto me hizo ese salvaje!,¡Y todo esto me dio a ese bárbaro!
